best_round_disagreement,best_round_greedy_success,best_round_index,best_round_post_unlock_frac,best_round_unique_ratio,candidate,checkpoint_path,config_path,eval_success_rate,final_greedy_success,final_round_disagreement,final_round_post_unlock_frac,final_round_unique_ratio,label,lane,run_dir,seed
1.0,0.0,1,0.0,0.0015625,cap_recent_4096,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_47/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.9733125,0.0,0.002125,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_47/kl_lss_sare,47
0.9995625,0.0,1,0.0,0.0018125,cap_recent_4096,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_53/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.993125,0.0,0.00225,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_53/kl_lss_sare,53
0.6366875,0.0,1,0.0,0.0023125,cap_recent_4096,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_59/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.9958125,0.0,0.0025625,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/cap_recent_4096/fresh_final/seed_59/kl_lss_sare,59
1.0,0.0,1,0.0,0.0015625,phase_balanced_recent_4096,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_47/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.7388125,0.0,0.002875,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_47/kl_lss_sare,47
0.9995625,0.0,1,0.0,0.0018125,phase_balanced_recent_4096,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_53/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.9951875,0.0,0.0026875,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_53/kl_lss_sare,53
0.6366875,0.0,1,0.0,0.0023125,phase_balanced_recent_4096,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_59/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.9491875,0.0,0.002625,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096/fresh_final/seed_59/kl_lss_sare,59
1.0,0.0,1,0.0,0.0015625,phase_balanced_recent_4096_post_unlock_weighted,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_47/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.9000625,0.0,0.00275,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_47/kl_lss_sare,47
0.9995625,0.0,1,0.0,0.0018125,phase_balanced_recent_4096_post_unlock_weighted,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_53/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.7738125,0.0,0.002875,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_53/kl_lss_sare,53
0.6366875,0.0,1,0.0,0.0023125,phase_balanced_recent_4096_post_unlock_weighted,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_59/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.994625,0.0,0.0025,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/phase_balanced_recent_4096_post_unlock_weighted/fresh_final/seed_59/kl_lss_sare,59
0.9746875,0.453125,4,0.7645625,0.0033125,post_unlock_weighted,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_47/kl_lss_sare/student_resolved_config.yaml,0.453125,0.453125,0.9746875,0.7645625,0.0033125,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_47/kl_lss_sare,47
0.3730625,0.515625,3,0.0,0.0029375,post_unlock_weighted,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_53/kl_lss_sare/student_resolved_config.yaml,0.515625,0.515625,0.23585278986941036,0.018467220683287166,0.0065954359583168445,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_53/kl_lss_sare,53
0.9715,0.421875,4,0.9795,0.00325,post_unlock_weighted,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_59/kl_lss_sare/student_resolved_config.yaml,0.421875,0.421875,0.9715,0.9795,0.00325,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage2/post_unlock_weighted/fresh_final/seed_59/kl_lss_sare,59
