active_compute_proxy,checkpoint_path,config_path,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,greedy,label,method,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,round_index,route_entropy,run_dir,seed,stage,temperature,variant
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/resolved_config.yaml,0.04793922201911168,1.0,6.4424076211099734,0.9897123423718173,,,10.0,0.9833403094523735,0.9926087209715643,6.4424076211099734,0.9897123423718173,9.984375,0.9640562366694212,1.0,,,,,True,flat_dense,baseline,greedy,,,,,,3.602215221949986,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3,23,baseline,1.0,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/resolved_config.yaml,0.050702116257575085,0.984747414044289,6.4212317958339655,0.9887292405181043,,,10.0,0.9828540907258786,0.9915984997189586,6.4212317958339655,0.9887292405181043,10.171875,0.9633812364190817,1.0,,,,,False,flat_dense,baseline,sampled_t1.0,,,,,,3.594742915209602,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3,23,baseline,1.0,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/resolved_config.yaml,0.014481859476974375,0.9940104166666667,6.435167155981801,0.9953311362036255,,,10.0,0.9921972808284518,0.9967556159196135,6.435167155981801,0.9953311362036255,9.984375,0.9640562366694212,1.0,,,,,False,flat_dense,baseline,sampled_t0.7,,,,,,3.596784918081193,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3,23,baseline,0.7,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3/resolved_config.yaml,0.007628794640745457,0.9940104166666667,6.435167155981801,0.9970486211298998,,,10.0,0.9947035406401386,0.9981145668070641,6.435167155981801,0.9970486211298998,9.984375,0.9640562366694212,1.0,,,,,False,flat_dense,baseline,sampled_t0.5,,,,,,3.596784918081193,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/flat_dense_ent1e3,23,baseline,0.5,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/resolved_config.yaml,1.4542783631682397,1.0,1.0605553944334387,0.5232222138140351,1.0605553944334387,0.5232222138140351,250.0,,0.5232222138140351,,,250.0,0.0,0.0,,,,,True,recovered_token_dense,baseline,greedy,,,,,11.322639866828919,10.793697350025177,0.22692618035525083,11.34715380859375,0.943649589151144,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23,baseline,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/resolved_config.yaml,1.2409240193963051,0.6003750000000001,1.4474439918547868,0.6060922764297576,1.4474439918547868,0.6060922764297576,250.0,,0.6060922764297576,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,baseline,sampled_t1.0,,,,,11.330796696662903,10.8270512509346,0.23724166640639305,11.35423759508133,0.9369273188412189,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23,baseline,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/resolved_config.yaml,0.9080488666109741,0.735625,1.3564913534373044,0.7380666312985121,1.3564913534373044,0.7380666312985121,250.0,,0.7380666312985121,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,baseline,sampled_t0.7,,,,,11.328691652297973,10.820024193286896,0.2339892235696316,11.35217125415802,0.9390340742170811,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23,baseline,0.7,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/resolved_config.yaml,0.5737549728476443,0.8558125000000001,1.2420356322750448,0.853028068266809,1.2420356322750448,0.853028068266809,250.0,,0.853028068266809,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,baseline,sampled_t0.5,,,,,11.326279467582703,10.819074316978455,0.2280256301611662,11.349869441032409,0.942872883528471,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23,baseline,0.5,token_dense
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/resolved_config.yaml,1.7066140696406364,1.0,0.7606439171358943,0.3937118477188051,0.7606439171358943,0.3937118477188051,250.0,,0.3937118477188051,,,250.0,0.0,0.0,0.24587435834109783,0.24526265263557434,0.263237863779068,0.24562508799135685,True,baseline_sare,baseline,greedy,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.28087360225617886,11.33165156841278,9.298333287239075,0.5416595861315727,11.391061425209045,0.6781321689486504,,1.3856862932443619,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23,baseline,1.0,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/resolved_config.yaml,1.7028641698360443,0.39699999999999996,0.7746307301931084,0.3967367326244712,0.7746307301931084,0.3967367326244712,250.0,,0.3967367326244712,,,250.0,0.0,0.0,0.24585520789027215,0.245301011800766,0.2632132634073496,0.24563049402087928,False,baseline_sare,baseline,sampled_t1.0,0.9999999905824661,0.9999999905824661,0.9999999905824661,0.29907427021861077,11.33080481004715,9.271862009525298,0.5442744323313237,11.390776368618011,0.6748142256736755,,1.385687907397747,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23,baseline,1.0,sare
