active_compute_proxy,checkpoint_path,config_path,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,greedy,label,lane,method,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,route_entropy,run_dir,seed,stage,temperature,variant
1.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_47/kl_lss_token_dense/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_47/kl_lss_token_dense/student_resolved_config.yaml,0.12985096491571613,1.0,4.916633455007577,0.9647125567644164,,,10.0,0.9486221482910018,0.9772273189104056,4.916633455007577,0.9647125567644164,10.40625,0.9625374861061573,1.0,,,,,True,kl_lss_token_dense,fresh_final,kl_lss_token_dense,greedy,,,,,11.33146571053399,10.028228855133056,0.4184676753150092,11.340355724758572,0.7955300211906433,0.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_47/kl_lss_token_dense,47,fresh_final,1.0,token_dense
1.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_47/kl_lss_token_dense/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_47/kl_lss_token_dense/student_resolved_config.yaml,0.13899360835785718,0.9637857801920303,4.834136589293885,0.961068022204554,,,11.0,0.9446466959595791,0.9730511521671033,4.834136589293885,0.961068022204554,11.359375,0.9591062357649207,1.0,,,,,False,kl_lss_token_dense,fresh_final,kl_lss_token_dense,sampled_t1.0,,,,,11.331641391832001,10.03334075577405,0.4179663183737774,11.341181326885613,0.7963075005278295,0.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_47/kl_lss_token_dense,47,fresh_final,1.0,token_dense
1.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_47/kl_lss_single_expert/latest.pt,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_47/kl_lss_single_expert/student_resolved_config.yaml,0.27508243424692047,1.0,4.667774036704607,0.9169498109961047,4.165988603782655,0.8707636112008776,250.0,,0.9169498109961047,5.273377145403516,0.9726917762662064,140.65625,0.43894999474287033,0.453125,1.0,,,,True,kl_lss_single_expert,fresh_final,kl_lss_single_expert,greedy,1.0,1.0,1.0,0.0,11.472559922834158,0.5973734861332998,0.9956665076936778,11.381087873548246,-0.017920648873686742,0.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_47/kl_lss_single_expert,47,fresh_final,1.0,single_expert
1.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_47/kl_lss_single_expert/latest.pt,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_47/kl_lss_single_expert/student_resolved_config.yaml,0.17111861438273152,0.9349373727048396,5.0909059133363135,0.9519722734853193,,,11.0,0.9348956877153703,0.9680139146631503,5.0909059133363135,0.9519722734853193,13.0625,0.9529749872162938,1.0,1.0,,,,False,kl_lss_single_expert,fresh_final,kl_lss_single_expert,sampled_t1.0,1.0,1.0,1.0,0.0,11.462089160541156,0.6807123879054645,0.9945974919173095,11.381143045854998,-0.016878402984894073,0.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_47/kl_lss_single_expert,47,fresh_final,1.0,single_expert
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/student_resolved_config.yaml,0.15007156756025508,1.0,5.42612050961703,0.9726244981978088,5.42612050961703,0.9726244981978088,250.0,,0.9726244981978088,,,250.0,0.0,0.0,0.24120591589808463,0.2525593960434198,0.2008139396607876,0.3054207071810961,True,kl_lss_sare,fresh_final,kl_lss_sare,greedy,0.9999999985694885,0.9999999985694885,0.9999999985694885,0.7682875588536262,11.384791644573212,1.0441482900083066,0.972621314227581,11.288880667209625,-0.011187359185190872,1.3626897102594375,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,fresh_final,1.0,sare
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/student_resolved_config.yaml,0.15586323959371146,0.945605885883976,5.490449084989865,0.9595245994437177,5.889594060457669,0.9811757582303806,250.0,,0.9595245994437177,4.867782923260089,0.9257487917365236,178.578125,0.2961812479188666,0.390625,0.24221586969189604,0.2537067822105964,0.2008833689815611,0.30319394839019925,False,kl_lss_sare,fresh_final,kl_lss_sare,sampled_t1.0,0.9999999880246376,0.9999999880246376,0.9999999880246376,0.767407267566452,11.390014442523476,0.9785547303126982,0.9734205343485345,11.288672533676039,-0.01270746590784676,1.3638921040611491,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,fresh_final,1.0,sare
1.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_53/kl_lss_token_dense/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_53/kl_lss_token_dense/student_resolved_config.yaml,0.018467441562776292,1.0,7.792528296299923,0.9968350133705752,,,10.0,0.9955314907959569,0.9977268972374196,7.792528296299923,0.9968350133705752,10.046875,0.9638312365859747,1.0,,,,,True,kl_lss_token_dense,fresh_final,kl_lss_token_dense,greedy,,,,,11.317636259670916,9.41121812798511,0.4884775770806718,11.318555349591135,0.7046496450215921,0.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_53/kl_lss_token_dense,53,fresh_final,1.0,token_dense
1.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_53/kl_lss_token_dense/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_53/kl_lss_token_dense/student_resolved_config.yaml,0.01840814671708657,0.9986979166666666,7.7948268447224525,0.9968485673383876,,,10.0,0.9955648544090334,0.9977268972374196,7.7948268447224525,0.9968485673383876,10.0625,0.9637749865651131,1.0,,,,,False,kl_lss_token_dense,fresh_final,kl_lss_token_dense,sampled_t1.0,,,,,11.317620825493472,9.413984934488932,0.48805715400597144,11.318523231594042,0.7051142933724941,0.0,outputs/experiments/lss_multi_expert_hardening/final_fresh_matched_controls/seed_53/kl_lss_token_dense,53,fresh_final,1.0,token_dense
1.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_53/kl_lss_single_expert/latest.pt,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_53/kl_lss_single_expert/student_resolved_config.yaml,0.1220160823224357,1.0,5.308462855564347,0.9781511181478656,4.073887120400705,0.964233679025404,12.0,0.964233679025404,0.9912250761113901,6.468215818899889,0.9912250761113901,125.859375,0.49846874363720417,0.515625,1.0,,,,True,kl_lss_single_expert,fresh_final,kl_lss_single_expert,greedy,1.0,1.0,1.0,0.0,11.480368956028563,2.035520759733435,0.9687307219600768,11.418333745434582,0.01833565713088867,0.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_53/kl_lss_single_expert,53,fresh_final,1.0,single_expert
1.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_53/kl_lss_single_expert/latest.pt,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_53/kl_lss_single_expert/student_resolved_config.yaml,0.11525978578392859,0.9694322753155347,5.493817334188929,0.9780281899696466,4.061065073299408,0.9631564401745795,11.0,0.9662516137514864,0.9890910342957968,6.1450683618659845,0.9847880762401314,94.484375,0.6286062416620553,0.6875,1.0,,,,False,kl_lss_single_expert,fresh_final,kl_lss_single_expert,sampled_t1.0,1.0,1.0,1.0,0.0,11.480766833765475,1.9950794483182508,0.9694437744972063,11.41802663699315,0.017243851971882367,0.0,outputs/experiments/lss_frozen_claim/final_block_single_expert_controls/seed_53/kl_lss_single_expert,53,fresh_final,1.0,single_expert
