door_unlock_step,episode_index,failure_bucket,first_divergence_phase,group,key_pickup_step,label,lane,length,median_first_divergence_step,median_key_pickup_step,median_unlock_step,reason,row_type,seed,success,success_rate,top_divergence_phase,top_failure_bucket,variant
,,,,weak,,kl_lss_token_dense,fresh_final,,0.0,1.0,4.0,,episode_summary,47,,0.96875,search_key,before_key_pickup,token_dense
,,,,weak,,kl_lss_single_expert,fresh_final,,11.0,1.0,4.0,,episode_summary,47,,0.546875,post_unlock,after_unlock_before_goal,single_expert
,,,,weak,,kl_lss_sare,fresh_final,,8.0,1.0,4.0,,episode_summary,47,,0.0,post_unlock,after_unlock_before_goal,sare
,,,,weak,,kl_lss_token_dense,fresh_final,,0.0,1.0,5.0,,episode_summary,53,,1.0,search_key,success,token_dense
,,,,weak,,kl_lss_single_expert,fresh_final,,10.0,1.0,5.0,,episode_summary,53,,0.578125,post_unlock,after_unlock_before_goal,single_expert
,,,,weak,,kl_lss_sare,fresh_final,,10.0,1.0,5.0,,episode_summary,53,,0.578125,post_unlock,after_unlock_before_goal,sare
,,,,weak,,kl_lss_token_dense,fresh_final,,1.0,1.0,4.0,,episode_summary,59,,0.953125,search_key,before_key_pickup,token_dense
,,,,weak,,kl_lss_single_expert,fresh_final,,11.0,1.0,4.0,,episode_summary,59,,0.625,post_unlock,after_unlock_before_goal,single_expert
,,,,weak,,kl_lss_sare,fresh_final,,11.0,1.0,4.0,,episode_summary,59,,0.625,post_unlock,after_unlock_before_goal,sare
,,,,strong,,kl_lss_token_dense,original,,,1.0,6.0,,episode_summary,7,,1.0,-,success,token_dense
,,,,strong,,kl_lss_single_expert,original,,,1.0,6.0,,episode_summary,7,,1.0,-,success,single_expert
,,,,strong,,kl_lss_sare,original,,0.0,1.0,6.0,,episode_summary,7,,0.984375,at_key,before_key_pickup,sare
,,,,strong,,kl_lss_token_dense,fresh,,6.0,1.0,4.0,,episode_summary,23,,0.0,post_unlock,after_unlock_before_goal,token_dense
,,,,strong,,kl_lss_single_expert,fresh,,9.0,1.0,4.0,,episode_summary,23,,0.375,post_unlock,after_unlock_before_goal,single_expert
,,,,strong,,kl_lss_sare,fresh,,,1.0,4.0,,episode_summary,23,,1.0,-,success,sare
5,3,success,,weak,2,kl_lss_token_dense,,10.0,,,,sare_specific_failure,representative_episode,47,1.0,,,,
5,3,success,,weak,2,kl_lss_single_expert,,10.0,,,,sare_specific_failure,representative_episode,47,1.0,,,,
5,3,after_unlock_before_goal,post_unlock,weak,2,kl_lss_sare,,250.0,,,,sare_specific_failure,representative_episode,47,0.0,,,,
4,0,success,,weak,0,kl_lss_token_dense,,10.0,,,,shared_structured_failure,representative_episode,53,1.0,,,,
4,0,after_unlock_before_goal,post_unlock,weak,0,kl_lss_single_expert,,250.0,,,,shared_structured_failure,representative_episode,53,0.0,,,,
4,0,after_unlock_before_goal,post_unlock,weak,0,kl_lss_sare,,250.0,,,,shared_structured_failure,representative_episode,53,0.0,,,,
4,1,success,,weak,1,kl_lss_token_dense,,10.0,,,,shared_structured_failure,representative_episode,59,1.0,,,,
4,1,after_unlock_before_goal,post_unlock,weak,1,kl_lss_single_expert,,250.0,,,,shared_structured_failure,representative_episode,59,0.0,,,,
4,1,after_unlock_before_goal,post_unlock,weak,1,kl_lss_sare,,250.0,,,,shared_structured_failure,representative_episode,59,0.0,,,,
6,0,success,,strong,2,kl_lss_token_dense,,11.0,,,,strong_sare_success,representative_episode,7,1.0,,,,
6,0,success,,strong,2,kl_lss_single_expert,,11.0,,,,strong_sare_success,representative_episode,7,1.0,,,,
6,0,success,,strong,2,kl_lss_sare,,11.0,,,,strong_sare_success,representative_episode,7,1.0,,,,
3,0,after_unlock_before_goal,post_unlock,strong,1,kl_lss_token_dense,,250.0,,,,strong_sare_success,representative_episode,23,0.0,,,,
3,0,success,,strong,1,kl_lss_single_expert,,8.0,,,,strong_sare_success,representative_episode,23,1.0,,,,
3,0,success,,strong,1,kl_lss_sare,,8.0,,,,strong_sare_success,representative_episode,23,1.0,,,,
