block,final_greedy_success,label,lane,run_dir,seed,source
fresh_final,0.453125,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_47/kl_lss_sare,47,historical_candidate
fresh_final,0.453125,kl_lss_single_expert,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_47/kl_lss_single_expert,47,historical_candidate
fresh_final,1.0,kl_lss_token_dense,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_47/kl_lss_token_dense,47,historical_candidate
fresh_final,0.515625,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_53/kl_lss_sare,53,historical_candidate
fresh_final,0.515625,kl_lss_single_expert,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_53/kl_lss_single_expert,53,historical_candidate
fresh_final,1.0,kl_lss_token_dense,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_53/kl_lss_token_dense,53,historical_candidate
fresh_final,0.421875,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_59/kl_lss_sare,59,historical_candidate
fresh_final,0.421875,kl_lss_single_expert,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_59/kl_lss_single_expert,59,historical_candidate
fresh_final,1.0,kl_lss_token_dense,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_59/kl_lss_token_dense,59,historical_candidate
fresh,1.0,kl_lss_sare,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_23/kl_lss_sare,23,historical_candidate
fresh,0.40625,kl_lss_single_expert,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_23/kl_lss_single_expert,23,historical_candidate
fresh,0.0,kl_lss_token_dense,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_23/kl_lss_token_dense,23,historical_candidate
fresh,1.0,kl_lss_sare,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_29/kl_lss_sare,29,historical_candidate
fresh,1.0,kl_lss_single_expert,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_29/kl_lss_single_expert,29,historical_candidate
fresh,0.625,kl_lss_token_dense,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_29/kl_lss_token_dense,29,historical_candidate
fresh,1.0,kl_lss_sare,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_31/kl_lss_sare,31,historical_candidate
